Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

208024_T1w_acpc_dc.img	Telencephalon_L	434869	38.6897	1821.2281	802.9545	235.2196	
208024_T1w_acpc_dc.img	Telencephalon_R	434388	71.7485	1837.2546	766.1868	220.0305	
208024_T1w_acpc_dc.img	Diencephalon_L	8102	225.5651	944.0051	579.2646	60.9910	
208024_T1w_acpc_dc.img	Diencephalon_R	7861	167.0362	785.4095	574.3562	66.7657	
208024_T1w_acpc_dc.img	Mesencephalon	9091	142.5536	748.4374	575.9846	54.5201	
208024_T1w_acpc_dc.img	Metencephalon	142218	120.4117	1200.6460	676.7643	136.5011	
208024_T1w_acpc_dc.img	Myelencephalon	3952	221.3822	683.1225	548.7977	45.0685	
208024_T1w_acpc_dc.img	CSF	47332	34.6649	1246.7812	469.3702	182.8231	



Type1-L2 Statistics

208024_T1w_acpc_dc.img	CerebralCortex_L	247844	38.6897	1821.2281	747.0066	234.6769	
208024_T1w_acpc_dc.img	CerebralCortex_R	246034	71.7485	1837.2546	706.4812	220.4904	
208024_T1w_acpc_dc.img	CerebralNucli_L	10829	245.8189	848.6193	551.2272	71.0431	
208024_T1w_acpc_dc.img	CerebralNucli_R	11138	183.7065	877.5662	555.9060	74.2745	
208024_T1w_acpc_dc.img	Thalamus_L	5769	225.5651	794.7628	596.8635	50.8116	
208024_T1w_acpc_dc.img	Thalamus_R	5721	175.8649	785.4095	587.8808	60.8893	
208024_T1w_acpc_dc.img	BasalForebrain_L	2333	256.7281	944.0051	535.7355	62.2414	
208024_T1w_acpc_dc.img	BasalForebrain_R	2141	167.0362	781.5043	538.2105	68.3167	
208024_T1w_acpc_dc.img	Mesencephalon_L	4523	180.2666	748.4374	574.0422	51.3588	
208024_T1w_acpc_dc.img	Mesencephalon_R	4569	142.5536	742.4253	577.9078	57.4144	
208024_T1w_acpc_dc.img	Metencephalon_R	71513	120.4117	1200.6460	674.5754	136.0108	
208024_T1w_acpc_dc.img	Metencephalon_L	70705	125.1550	1131.7194	678.9781	136.9596	
208024_T1w_acpc_dc.img	Myelencephalon_L	1878	221.3822	681.9268	548.0800	49.0933	
208024_T1w_acpc_dc.img	Myelencephalon_R	2075	242.9694	683.1225	549.4471	41.0772	
208024_T1w_acpc_dc.img	WhiteMatter_L	176197	119.6381	1811.7507	897.1233	203.9901	
208024_T1w_acpc_dc.img	WhiteMatter_R	177217	149.0624	1819.8643	862.2934	184.0207	
208024_T1w_acpc_dc.img	Ventricle	14110	116.7838	1103.0455	396.8221	183.4354	
208024_T1w_acpc_dc.img	Sulcus_L	19509	34.6649	1114.6609	496.5603	171.9362	
208024_T1w_acpc_dc.img	Sulcus_R	13714	125.2293	1246.7812	505.3362	175.8614	



Type1-L3 Statistics

208024_T1w_acpc_dc.img	Frontal_L	84399	38.6897	1183.4780	657.1807	142.3251	
208024_T1w_acpc_dc.img	Frontal_R	82851	124.6544	1078.4381	612.4156	128.4851	
208024_T1w_acpc_dc.img	Parietal_L	38240	80.8990	1521.4622	868.9389	184.7494	
208024_T1w_acpc_dc.img	Parietal_R	38768	179.5724	1496.1276	867.2192	179.1790	
208024_T1w_acpc_dc.img	Temporal_L	56244	84.1615	1585.0875	751.7811	238.6663	
208024_T1w_acpc_dc.img	Temporal_R	58713	71.7485	1412.7024	691.6121	205.4289	
208024_T1w_acpc_dc.img	Limbic_L	31830	140.5645	1119.9493	588.5284	128.9164	
208024_T1w_acpc_dc.img	Limbic_R	33096	140.4631	1121.4464	573.7696	122.4973	
208024_T1w_acpc_dc.img	Occipital_L	31663	80.0825	1821.2281	1024.3889	262.5608	
208024_T1w_acpc_dc.img	Occipital_R	26963	205.9442	1837.2546	987.5309	257.9082	
208024_T1w_acpc_dc.img	Insula_L	6826	182.5313	954.0026	526.4902	67.6323	
208024_T1w_acpc_dc.img	Insula_R	6953	195.7948	1062.4891	550.4737	74.9426	
208024_T1w_acpc_dc.img	BasalGang_L	9474	261.3741	848.6193	567.2140	59.2639	
208024_T1w_acpc_dc.img	BasalGang_R	9830	183.7065	877.5662	569.8319	65.9596	
208024_T1w_acpc_dc.img	Thalamus_L	5769	225.5651	794.7628	596.8635	50.8116	
208024_T1w_acpc_dc.img	Thalamus_R	5721	175.8649	785.4095	587.8808	60.8893	
208024_T1w_acpc_dc.img	BasalForebrain_L	2333	256.7281	944.0051	535.7355	62.2414	
