Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

180129_T1w_acpc_dc.img	Telencephalon_L	472191	29.4805	1475.4755	699.9050	186.3166	
180129_T1w_acpc_dc.img	Telencephalon_R	480537	20.6625	1833.8171	795.1824	245.0863	
180129_T1w_acpc_dc.img	Diencephalon_L	7832	210.7094	1119.7800	563.2136	56.9821	
180129_T1w_acpc_dc.img	Diencephalon_R	8013	166.9594	1040.8711	573.3744	70.4324	
180129_T1w_acpc_dc.img	Mesencephalon	9035	143.7480	748.2667	579.7428	58.8631	
180129_T1w_acpc_dc.img	Metencephalon	140543	103.9348	1140.0684	652.7318	127.2827	
180129_T1w_acpc_dc.img	Myelencephalon	3682	140.4078	814.3640	542.4115	47.5670	
180129_T1w_acpc_dc.img	CSF	52596	38.5452	1352.7535	449.2125	177.8542	



Type1-L2 Statistics

180129_T1w_acpc_dc.img	CerebralCortex_L	271916	29.4805	1475.4755	644.4421	185.6537	
180129_T1w_acpc_dc.img	CerebralCortex_R	273593	20.6625	1833.8171	740.6524	255.1493	
180129_T1w_acpc_dc.img	CerebralNucli_L	11666	154.9878	1061.7666	538.5316	64.5205	
180129_T1w_acpc_dc.img	CerebralNucli_R	11929	134.6463	1054.8595	574.8080	77.3383	
180129_T1w_acpc_dc.img	Thalamus_L	5492	210.7094	739.5735	577.7523	44.9253	
180129_T1w_acpc_dc.img	Thalamus_R	5687	166.9594	787.8398	583.7176	69.4345	
180129_T1w_acpc_dc.img	BasalForebrain_L	2340	281.5157	1119.7800	529.0960	66.8598	
180129_T1w_acpc_dc.img	BasalForebrain_R	2327	196.5423	1040.8711	548.0952	66.3429	
180129_T1w_acpc_dc.img	Mesencephalon_L	4455	143.7480	703.2723	571.1777	54.2524	
180129_T1w_acpc_dc.img	Mesencephalon_R	4580	154.2102	748.2667	588.0751	61.8986	
180129_T1w_acpc_dc.img	Metencephalon_R	70277	103.9348	1140.0684	668.1619	132.1146	
180129_T1w_acpc_dc.img	Metencephalon_L	70266	149.7380	1058.2793	637.2995	120.2955	
180129_T1w_acpc_dc.img	Myelencephalon_L	1671	140.4078	814.3640	535.4116	57.2084	
180129_T1w_acpc_dc.img	Myelencephalon_R	2011	281.5558	653.3672	548.2280	36.7242	
180129_T1w_acpc_dc.img	WhiteMatter_L	188610	114.0102	1475.2437	789.8462	151.0765	
180129_T1w_acpc_dc.img	WhiteMatter_R	195016	147.9706	1815.5278	885.1636	202.6687	
180129_T1w_acpc_dc.img	Ventricle	15720	86.0305	1020.6013	410.7472	177.1452	
180129_T1w_acpc_dc.img	Sulcus_L	20746	38.5452	1081.0001	432.8860	150.6088	
180129_T1w_acpc_dc.img	Sulcus_R	16132	100.0736	1352.7535	507.6899	195.4018	



Type1-L3 Statistics

180129_T1w_acpc_dc.img	Frontal_L	89708	55.9085	948.9821	562.9549	110.7878	
180129_T1w_acpc_dc.img	Frontal_R	89430	110.6552	1317.8585	624.6625	142.4505	
180129_T1w_acpc_dc.img	Parietal_L	40003	54.0590	1381.4668	766.6313	163.5488	
180129_T1w_acpc_dc.img	Parietal_R	41286	219.5545	1833.8171	970.1556	253.3714	
180129_T1w_acpc_dc.img	Temporal_L	66256	29.4805	1351.9637	633.4954	178.2037	
180129_T1w_acpc_dc.img	Temporal_R	67726	20.6625	1809.6031	766.0516	261.1171	
180129_T1w_acpc_dc.img	Limbic_L	35229	144.9146	1095.6438	561.3796	119.8827	
180129_T1w_acpc_dc.img	Limbic_R	34825	134.6463	1063.8204	562.7635	117.6797	
180129_T1w_acpc_dc.img	Occipital_L	34480	74.6380	1475.4755	847.9238	211.3009	
180129_T1w_acpc_dc.img	Occipital_R	33510	126.4208	1723.2698	929.7933	264.3480	
180129_T1w_acpc_dc.img	Insula_L	7558	142.5805	1161.6049	482.4491	76.3408	
180129_T1w_acpc_dc.img	Insula_R	8071	133.4601	1662.4441	578.3620	91.4788	
180129_T1w_acpc_dc.img	BasalGang_L	10351	154.9878	1061.7666	552.3139	52.9734	
180129_T1w_acpc_dc.img	BasalGang_R	10677	185.8981	1054.8595	587.5996	69.4879	
180129_T1w_acpc_dc.img	Thalamus_L	5492	210.7094	739.5735	577.7523	44.9253	
180129_T1w_acpc_dc.img	Thalamus_R	5687	166.9594	787.8398	583.7176	69.4345	
180129_T1w_acpc_dc.img	BasalForebrain_L	2340	281.5157	1119.7800	529.0960	66.8598	
