Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

857263_T1w_acpc_dc.img	Telencephalon_L	562342	2.3564	2001.7228	840.5930	260.4462	
857263_T1w_acpc_dc.img	Telencephalon_R	571245	79.2994	1984.4070	851.2441	284.8470	
857263_T1w_acpc_dc.img	Diencephalon_L	10048	156.4367	716.0005	516.0001	60.9749	
857263_T1w_acpc_dc.img	Diencephalon_R	9823	142.7818	713.5063	509.7146	71.3824	
857263_T1w_acpc_dc.img	Mesencephalon	11077	98.0316	681.9451	503.2999	59.8098	
857263_T1w_acpc_dc.img	Metencephalon	157616	98.6024	1265.7860	623.6008	148.1721	
857263_T1w_acpc_dc.img	Myelencephalon	4890	139.6104	628.1432	489.1710	53.1954	
857263_T1w_acpc_dc.img	CSF	79064	78.7136	1368.7067	445.7665	221.0361	



Type1-L2 Statistics

857263_T1w_acpc_dc.img	CerebralCortex_L	312032	2.3564	2001.7228	802.2806	271.7915	
857263_T1w_acpc_dc.img	CerebralCortex_R	315336	79.2994	1984.4070	815.1018	306.9303	
857263_T1w_acpc_dc.img	CerebralNucli_L	13300	185.6136	768.8291	526.9373	66.7902	
857263_T1w_acpc_dc.img	CerebralNucli_R	13453	162.5624	756.3119	529.8630	70.1378	
857263_T1w_acpc_dc.img	Thalamus_L	6858	156.4367	716.0005	522.7804	58.0884	
857263_T1w_acpc_dc.img	Thalamus_R	6864	143.0685	713.5063	514.8454	72.6755	
857263_T1w_acpc_dc.img	BasalForebrain_L	3190	196.7217	693.4374	501.4223	64.3856	
857263_T1w_acpc_dc.img	BasalForebrain_R	2960	142.7818	706.7313	497.8134	66.7880	
857263_T1w_acpc_dc.img	Mesencephalon_L	5572	139.9080	675.1232	502.2620	54.5957	
857263_T1w_acpc_dc.img	Mesencephalon_R	5506	98.0316	681.9451	504.3501	64.6422	
857263_T1w_acpc_dc.img	Metencephalon_R	79457	119.7008	1265.7860	629.9103	152.5819	
857263_T1w_acpc_dc.img	Metencephalon_L	78159	98.6024	1144.3276	617.1865	143.2657	
857263_T1w_acpc_dc.img	Myelencephalon_L	2359	143.1514	619.3278	488.4747	59.2626	
857263_T1w_acpc_dc.img	Myelencephalon_R	2531	139.6104	628.1432	489.8199	46.8294	
857263_T1w_acpc_dc.img	WhiteMatter_L	237011	112.7432	1999.7002	908.6323	226.6194	
857263_T1w_acpc_dc.img	WhiteMatter_R	242457	120.6304	1919.3181	916.0817	238.1946	
857263_T1w_acpc_dc.img	Ventricle	29575	86.5551	1179.9796	309.3057	162.9182	
857263_T1w_acpc_dc.img	Sulcus_L	28828	78.7136	1358.5326	529.5086	210.2703	
857263_T1w_acpc_dc.img	Sulcus_R	20662	105.7119	1368.7067	524.2545	211.3690	



Type1-L3 Statistics

857263_T1w_acpc_dc.img	Frontal_L	105683	48.7798	1572.0059	772.0247	209.0969	
857263_T1w_acpc_dc.img	Frontal_R	106351	87.1817	1393.8866	733.5544	191.0088	
857263_T1w_acpc_dc.img	Parietal_L	48256	213.9563	1744.0637	962.3056	232.5195	
857263_T1w_acpc_dc.img	Parietal_R	49679	190.0137	1919.4402	1050.0492	277.1693	
857263_T1w_acpc_dc.img	Temporal_L	76052	2.3564	1734.0804	763.2535	258.5584	
857263_T1w_acpc_dc.img	Temporal_R	75122	83.5069	1904.1024	794.6204	314.9250	
857263_T1w_acpc_dc.img	Limbic_L	39524	115.6239	1194.5549	576.1298	132.2204	
857263_T1w_acpc_dc.img	Limbic_R	38944	79.2994	1126.4227	551.0198	131.8777	
857263_T1w_acpc_dc.img	Occipital_L	35357	124.8720	2001.7228	1063.4397	321.6220	
857263_T1w_acpc_dc.img	Occipital_R	37312	169.3547	1984.4070	1102.0716	332.8523	
857263_T1w_acpc_dc.img	Insula_L	8507	144.9015	816.9792	523.8547	75.0031	
857263_T1w_acpc_dc.img	Insula_R	9221	178.2090	1059.2046	556.3204	80.0006	
857263_T1w_acpc_dc.img	BasalGang_L	11955	185.6136	768.8291	539.1550	57.3777	
857263_T1w_acpc_dc.img	BasalGang_R	12162	162.5624	756.3119	540.8855	63.2223	
857263_T1w_acpc_dc.img	Thalamus_L	6858	156.4367	716.0005	522.7804	58.0884	
857263_T1w_acpc_dc.img	Thalamus_R	6864	143.0685	713.5063	514.8454	72.6755	
857263_T1w_acpc_dc.img	BasalForebrain_L	3190	196.7217	693.4374	501.4223	64.3856	
