Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

611231_T1w_acpc_dc.img	Telencephalon_L	432855	13.6595	1604.8616	723.7213	182.5342	
611231_T1w_acpc_dc.img	Telencephalon_R	431694	32.0499	1838.2017	800.9373	224.1329	
611231_T1w_acpc_dc.img	Diencephalon_L	8184	118.5441	789.3894	570.8782	65.6462	
611231_T1w_acpc_dc.img	Diencephalon_R	7962	165.1200	791.5988	571.0347	75.6089	
611231_T1w_acpc_dc.img	Mesencephalon	9043	128.4815	768.4520	582.3079	64.7144	
611231_T1w_acpc_dc.img	Metencephalon	133078	48.6733	1112.1276	621.6517	121.9552	
611231_T1w_acpc_dc.img	Myelencephalon	4208	186.6064	748.2899	529.9144	52.4689	
611231_T1w_acpc_dc.img	CSF	47141	11.5517	1175.7556	441.7548	176.8558	



Type1-L2 Statistics

611231_T1w_acpc_dc.img	CerebralCortex_L	238778	13.6595	1586.8301	659.2519	176.9418	
611231_T1w_acpc_dc.img	CerebralCortex_R	235278	32.0499	1830.2103	739.8114	227.9022	
611231_T1w_acpc_dc.img	CerebralNucli_L	11679	130.0913	836.8845	564.6971	74.0295	
611231_T1w_acpc_dc.img	CerebralNucli_R	11799	118.8550	796.1409	586.1154	78.8313	
611231_T1w_acpc_dc.img	Thalamus_L	5776	154.4434	789.3894	580.0082	57.4348	
611231_T1w_acpc_dc.img	Thalamus_R	5747	165.1200	777.1959	575.1132	74.7191	
611231_T1w_acpc_dc.img	BasalForebrain_L	2409	118.5441	741.3140	548.9810	77.8074	
611231_T1w_acpc_dc.img	BasalForebrain_R	2215	220.0621	791.5988	560.4504	76.8675	
611231_T1w_acpc_dc.img	Mesencephalon_L	4553	165.8486	731.9467	576.2509	62.7716	
611231_T1w_acpc_dc.img	Mesencephalon_R	4491	128.4815	768.4520	588.4490	66.0617	
611231_T1w_acpc_dc.img	Metencephalon_R	66546	48.6733	1112.1276	643.7113	127.9797	
611231_T1w_acpc_dc.img	Metencephalon_L	66533	123.0196	961.7739	599.5876	111.3259	
611231_T1w_acpc_dc.img	Myelencephalon_L	1936	186.6064	683.8583	522.0798	56.4464	
611231_T1w_acpc_dc.img	Myelencephalon_R	2273	187.2639	748.2899	536.5887	47.8235	
611231_T1w_acpc_dc.img	WhiteMatter_L	182399	109.1535	1604.8616	818.2995	147.4030	
611231_T1w_acpc_dc.img	WhiteMatter_R	184619	107.4002	1838.2017	892.5646	186.4697	
611231_T1w_acpc_dc.img	Ventricle	17892	65.7111	1098.9292	353.9491	170.5460	
611231_T1w_acpc_dc.img	Sulcus_L	16523	11.5517	1071.6801	474.9235	146.8537	
611231_T1w_acpc_dc.img	Sulcus_R	12726	64.6538	1175.7556	522.1418	168.0456	



Type1-L3 Statistics

611231_T1w_acpc_dc.img	Frontal_L	80985	19.1181	1132.9524	623.7173	127.8180	
611231_T1w_acpc_dc.img	Frontal_R	76078	36.3095	1281.2844	662.6925	140.2822	
611231_T1w_acpc_dc.img	Parietal_L	36511	13.6595	1237.3671	737.1379	150.1377	
611231_T1w_acpc_dc.img	Parietal_R	38635	101.7892	1596.2112	877.5680	193.6321	
611231_T1w_acpc_dc.img	Temporal_L	55086	106.0009	1191.4987	599.2178	148.9747	
611231_T1w_acpc_dc.img	Temporal_R	55047	32.0499	1557.4935	723.8737	221.6231	
611231_T1w_acpc_dc.img	Limbic_L	27316	43.4896	1043.4116	569.5933	120.4552	
611231_T1w_acpc_dc.img	Limbic_R	28707	85.9372	1096.2686	567.7990	117.3564	
611231_T1w_acpc_dc.img	Occipital_L	34461	48.4019	1586.8301	847.2028	216.9597	
611231_T1w_acpc_dc.img	Occipital_R	31765	160.1105	1830.2103	965.2794	272.6315	
611231_T1w_acpc_dc.img	Insula_L	5783	82.9685	809.5167	489.6278	71.3596	
611231_T1w_acpc_dc.img	Insula_R	6300	167.4626	946.8074	558.6714	78.4198	
611231_T1w_acpc_dc.img	BasalGang_L	10317	130.0913	836.8845	580.7320	61.0882	
611231_T1w_acpc_dc.img	BasalGang_R	10548	118.8550	796.1409	600.0575	69.7656	
611231_T1w_acpc_dc.img	Thalamus_L	5776	154.4434	789.3894	580.0082	57.4348	
611231_T1w_acpc_dc.img	Thalamus_R	5747	165.1200	777.1959	575.1132	74.7191	
611231_T1w_acpc_dc.img	BasalForebrain_L	2409	118.5441	741.3140	548.9810	77.8074	
