Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

115320_T1w_acpc_dc.img	Telencephalon_L	435697	25.8042	1435.4403	746.4964	189.8393	
115320_T1w_acpc_dc.img	Telencephalon_R	439030	51.7799	1658.0110	772.6419	222.8637	
115320_T1w_acpc_dc.img	Diencephalon_L	8420	196.8961	756.9359	556.2605	60.7871	
115320_T1w_acpc_dc.img	Diencephalon_R	8250	144.5721	779.8356	553.8472	70.7323	
115320_T1w_acpc_dc.img	Mesencephalon	9609	155.1953	711.9385	548.2358	59.4365	
115320_T1w_acpc_dc.img	Metencephalon	146733	57.9435	1076.1315	602.4622	114.0846	
115320_T1w_acpc_dc.img	Myelencephalon	4249	147.9112	615.4323	507.8007	44.8139	
115320_T1w_acpc_dc.img	CSF	57358	2.9109	1102.2493	409.7558	174.7667	



Type1-L2 Statistics

115320_T1w_acpc_dc.img	CerebralCortex_L	244131	25.8042	1427.4814	686.0788	189.0795	
115320_T1w_acpc_dc.img	CerebralCortex_R	242809	51.7799	1658.0110	714.2411	232.5901	
115320_T1w_acpc_dc.img	CerebralNucli_L	10458	165.1466	795.8241	546.3478	72.1243	
115320_T1w_acpc_dc.img	CerebralNucli_R	10692	148.1950	788.4878	552.1799	74.1292	
115320_T1w_acpc_dc.img	Thalamus_L	5994	196.8961	756.9359	571.5233	54.4376	
115320_T1w_acpc_dc.img	Thalamus_R	6019	144.5721	779.8356	563.6778	70.7001	
115320_T1w_acpc_dc.img	BasalForebrain_L	2427	198.7778	686.5335	518.5534	59.2048	
115320_T1w_acpc_dc.img	BasalForebrain_R	2231	169.6922	711.5683	527.3254	63.6490	
115320_T1w_acpc_dc.img	Mesencephalon_L	4781	163.6745	682.9820	544.5369	58.1079	
115320_T1w_acpc_dc.img	Mesencephalon_R	4829	155.1953	711.9385	551.8979	60.5009	
115320_T1w_acpc_dc.img	Metencephalon_R	74406	57.9435	1076.1315	616.8773	122.2000	
115320_T1w_acpc_dc.img	Metencephalon_L	72328	90.5792	943.0897	587.6328	102.9998	
115320_T1w_acpc_dc.img	Myelencephalon_L	2048	147.9112	615.4323	503.3044	49.6394	
115320_T1w_acpc_dc.img	Myelencephalon_R	2201	175.0826	608.8268	511.9844	39.3430	
115320_T1w_acpc_dc.img	WhiteMatter_L	181110	126.1227	1435.4403	839.4941	149.4171	
115320_T1w_acpc_dc.img	WhiteMatter_R	185530	132.0453	1637.4373	861.7781	176.6534	
115320_T1w_acpc_dc.img	Ventricle	19209	91.6692	955.6750	336.4159	165.7161	
115320_T1w_acpc_dc.img	Sulcus_L	22769	2.9109	1102.2493	444.1363	163.7265	
115320_T1w_acpc_dc.img	Sulcus_R	15381	91.4917	1101.2980	450.4519	172.6286	



Type1-L3 Statistics

115320_T1w_acpc_dc.img	Frontal_L	81770	25.8042	1210.0157	679.2201	163.6430	
115320_T1w_acpc_dc.img	Frontal_R	78638	51.7799	1187.5861	649.3230	153.4667	
115320_T1w_acpc_dc.img	Parietal_L	38525	38.4902	1397.7268	797.8052	181.3782	
115320_T1w_acpc_dc.img	Parietal_R	38818	201.3375	1595.3530	890.5119	220.5927	
115320_T1w_acpc_dc.img	Temporal_L	54287	65.6723	1387.2428	631.6393	173.2132	
115320_T1w_acpc_dc.img	Temporal_R	59444	120.3023	1573.8264	697.7452	229.3792	
115320_T1w_acpc_dc.img	Limbic_L	30412	111.2896	1012.4684	564.0619	121.6194	
115320_T1w_acpc_dc.img	Limbic_R	31517	97.8049	1033.9941	548.6985	117.1540	
115320_T1w_acpc_dc.img	Occipital_L	32980	69.5290	1427.4814	805.6588	207.3372	
115320_T1w_acpc_dc.img	Occipital_R	27739	135.1204	1658.0110	913.8672	275.3724	
115320_T1w_acpc_dc.img	Insula_L	7334	144.1031	762.2431	504.6222	80.0318	
115320_T1w_acpc_dc.img	Insula_R	7760	159.9312	972.3695	537.1409	77.7225	
115320_T1w_acpc_dc.img	BasalGang_L	9283	177.8140	795.8241	562.0290	58.5497	
115320_T1w_acpc_dc.img	BasalGang_R	9588	148.1950	788.4878	564.5279	66.6494	
115320_T1w_acpc_dc.img	Thalamus_L	5994	196.8961	756.9359	571.5233	54.4376	
115320_T1w_acpc_dc.img	Thalamus_R	6019	144.5721	779.8356	563.6778	70.7001	
115320_T1w_acpc_dc.img	BasalForebrain_L	2427	198.7778	686.5335	518.5534	59.2048	
