Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	

Color Images
Image	Object	Volume_mm3	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	



Type1-L1 Statistics

270332_T1w_acpc_dc.img	Telencephalon_L	620323	40.6647	2109.0488	845.4779	277.5323	
270332_T1w_acpc_dc.img	Telencephalon_R	628599	49.9424	2131.6641	835.4780	292.3751	
270332_T1w_acpc_dc.img	Diencephalon_L	10230	148.9949	720.8699	518.7628	57.8419	
270332_T1w_acpc_dc.img	Diencephalon_R	10287	144.9191	729.7333	515.6263	70.6022	
270332_T1w_acpc_dc.img	Mesencephalon	12140	105.4168	683.4105	514.3983	56.7906	
270332_T1w_acpc_dc.img	Metencephalon	168658	106.6721	1129.6785	605.0048	139.4457	
270332_T1w_acpc_dc.img	Myelencephalon	4002	146.4332	608.9860	489.6968	43.2045	
270332_T1w_acpc_dc.img	CSF	87484	78.0464	1501.7921	441.5431	209.2278	



Type1-L2 Statistics

270332_T1w_acpc_dc.img	CerebralCortex_L	354365	40.6647	2109.0488	799.5242	285.7090	
270332_T1w_acpc_dc.img	CerebralCortex_R	358021	49.9424	2131.6641	788.5684	307.1005	
270332_T1w_acpc_dc.img	CerebralNucli_L	14243	145.4677	799.1581	530.0046	72.1435	
270332_T1w_acpc_dc.img	CerebralNucli_R	14894	123.8546	939.4385	529.9156	77.4229	
270332_T1w_acpc_dc.img	Thalamus_L	7374	167.6590	711.3021	527.1780	53.0214	
270332_T1w_acpc_dc.img	Thalamus_R	7705	144.9191	729.7333	523.6051	71.8114	
270332_T1w_acpc_dc.img	BasalForebrain_L	2856	148.9949	720.8699	497.0318	63.8015	
270332_T1w_acpc_dc.img	BasalForebrain_R	2583	178.1736	656.8061	491.8181	60.9430	
270332_T1w_acpc_dc.img	Mesencephalon_L	6071	155.9113	653.3633	509.3538	52.9186	
270332_T1w_acpc_dc.img	Mesencephalon_R	6069	105.4168	683.4105	519.4443	59.9930	
270332_T1w_acpc_dc.img	Metencephalon_R	84950	106.6721	1129.6785	620.9540	144.6462	
270332_T1w_acpc_dc.img	Metencephalon_L	83709	108.4515	1046.3894	588.8194	132.0065	
270332_T1w_acpc_dc.img	Myelencephalon_L	1866	146.4332	608.9860	485.3265	49.7534	
270332_T1w_acpc_dc.img	Myelencephalon_R	2137	206.8983	596.7388	493.5134	36.1073	
270332_T1w_acpc_dc.img	WhiteMatter_L	251716	121.8671	2100.6516	928.0218	243.2832	
270332_T1w_acpc_dc.img	WhiteMatter_R	255685	79.1092	2077.8833	918.9610	249.5264	
270332_T1w_acpc_dc.img	Ventricle	29718	78.0464	1062.8430	309.9028	159.5087	
270332_T1w_acpc_dc.img	Sulcus_L	33184	129.6894	1501.7921	511.3050	195.7647	
270332_T1w_acpc_dc.img	Sulcus_R	24583	109.1134	1427.6074	506.5131	203.8619	



Type1-L3 Statistics

270332_T1w_acpc_dc.img	Frontal_L	115688	61.4894	1791.9210	787.2155	236.8201	
270332_T1w_acpc_dc.img	Frontal_R	116316	87.2223	1589.2219	721.0687	193.8761	
270332_T1w_acpc_dc.img	Parietal_L	55321	192.9352	1762.4261	936.9181	248.4818	
270332_T1w_acpc_dc.img	Parietal_R	58240	190.4037	1995.8099	1027.2655	294.2789	
270332_T1w_acpc_dc.img	Temporal_L	84820	40.6647	1819.1727	753.9479	264.7436	
270332_T1w_acpc_dc.img	Temporal_R	83165	49.9424	1927.2229	724.1049	282.5060	
270332_T1w_acpc_dc.img	Limbic_L	44577	116.1387	1195.4650	561.7776	135.9579	
270332_T1w_acpc_dc.img	Limbic_R	45779	103.1856	1149.0409	544.3749	132.2066	
270332_T1w_acpc_dc.img	Occipital_L	44945	150.3528	2109.0488	1031.6633	351.0205	
270332_T1w_acpc_dc.img	Occipital_R	45064	129.9608	2131.6641	1065.6592	367.1914	
270332_T1w_acpc_dc.img	Insula_L	10762	172.3736	974.2502	537.0541	75.4774	
270332_T1w_acpc_dc.img	Insula_R	11084	186.8503	1120.1343	554.1585	78.7134	
270332_T1w_acpc_dc.img	BasalGang_L	12496	161.9208	799.1581	546.6138	58.7132	
270332_T1w_acpc_dc.img	BasalGang_R	13269	123.8546	939.4385	543.5436	69.4280	
270332_T1w_acpc_dc.img	Thalamus_L	7374	167.6590	711.3021	527.1780	53.0214	
270332_T1w_acpc_dc.img	Thalamus_R	7705	144.9191	729.7333	523.6051	71.8114	
270332_T1w_acpc_dc.img	BasalForebrain_L	2856	148.9949	720.8699	497.0318	63.8015	
